Word,Word_freq
crab,242
fish,187
curry,185
thai,157
food,143
not,135
rice,133
sauce,132
spicy,131
very,130
good,122
cheeks,115
fried,113
place,106
coconut,103
dish,97
oysters,96
delicious,91
like,87
more,86
great,85
really,78
hour,77
happy,75
restaurant,74
definitely,71
pork,69
one,68
dishes,66
ordered,65
well,61
try,61
flavor,61
best,59
make,57
back,56
up,55
recommend,52
time,52
menu,51
meat,50
wings,50
because,50
order,50
wait,49
me,49
too,47
nice,47
prawn,45
has,45
$1,44
favorite,44
love,43
don't,41
sweet,41
reservation,41
everything,40
flavorful,39
will,38
seafood,37
table,37
grilled,36
karee,36
tiger,36
2,36
pretty,36
little,36
much,36
amazing,35
drinks,35
an,35
eat,35
both,34
fresh,34
small,34
shrimp,33
bit,33
than,33
after,32
perfect,32
over,32
spot,31
taste,31
could,31
i've,30
made,30
super,30
salad,30
side,30
even,30
each,30
flavors,29
did,29
been,29
spice,29
service,29
mango,29
about,29
green,28
think,28
she,28
worth,28
can't,28
loved,27
night,27
still,27
most,27
them,27
sure,27
didn't,26
first,26
during,26
its,26
top,26
few,26
3,26
things,25
friend,25
since,25
every,25
do,25
quite,24
prawns,24
two,24
reservations,24
comes,24
you're,24
chili,24
bar,24
no,23
down,23
noodles,23
clams,23
right,23
steamed,23
must,23
meal,22
experience,22
cocktails,22
tender,22
people,22
what,22
coming,21
something,21
55,21
ice,21
overall,21
always,21
corn,21
i'm,20
want,20
crispy,20
cream,20
friends,20
know,20
wish,20
morning,20
another,20
glory,19
woonsen,19
cocktail,19
while,19
different,19
day,19
glass,19
whole,19
perfectly,19
week,19
how,19
enjoyed,19
thing,19
highly,19
served,19
aob,18
portion,18
went,18
bowl,18
tasty,18
ever,18
tasted,18
packed,18
lunch,18
restaurants,18
dinner,18
sour,17
then,17
these,17
soup,17
enough,17
branzino,17
lime,17
large,16
once,16
drink,16
need,16
refreshing,16
usually,16
am,16
shallots,16
around,16
wasn't,16
say,16
give,15
almost,15
though,15
couldn't,15
lot,15
cooked,15
next,15
although,15
fantastic,15
oyster,15
kind,15
without,15
start,15
price,15
set,15
basil,14
herbs,14
nyc,14
put,14
items,14
able,14
said,14
her,14
zabb,14
finally,14
however,14
amount,14
tried,14
take,14
&,14
better,14
who,14
fan,14
especially,14
chunks,14
probably,14
unique,13
reviews,13
party,13
into,13
staff,13
wanted,13
chicken,13
away,13
long,13
many,13
cannot,13
way,13
extra,13
fai,13
cute,13
date,13
cilantro,13
dessert,13
places,13
friendly,13
thailand,13
dang,13
those,13
thought,13
full,13
heat,13
such,12
egg,12
review,12
i'd,12
juicy,12
again,12
balance,12
creamy,12
absolutely,12
that's,12
visit,12
new,12
light,12
savory,12
authentic,12
fun,12
size,12
before,12
feel,12
going,12
nothing,12
special,12
shared,12
see,12
garlic,12
city,12
beef,11
ate,11
1,11
popular,11
white,11
deal,11
off,11
tables,11
mouth,11
strong,11
yet,11
anything,11
oh,11
tea,11
handle,11
typical,11
close,11
he,11
look,11
same,11
now,11
stars,11
texture,11
offer,11
any,11
cozy,11
honestly,11
three,11
recommended,10
less,10
pm,10
pieces,10
sticky,10
share,10
being,10
last,10
dry,10
end,10
eating,10
else,10
actually,10
never,10
simple,10
name,10
pad,10
used,10
goes,10
advance,10
group,10
quickly,10
left,10
dining,10
quality,10
started,10
bite,10
hot,10
looked,9
open,9
having,9
together,9
*,9
incredible,9
wouldn't,9
hours,9
might,9
busy,9
yes,9
sauces,9
slightly,9
yummy,9
itself,9
lol,9
belly,9
home,9
makes,9
waiter,9
pakboong,9
style,9
far,9
attentive,9
ordering,9
chips,9
own,9
5,9
prepared,9
getting,9
entrees,9
rich,8
generous,8
tak,8
decided,8
hostess,8
$10,8
let,8
4,8
type,8
luckily,8
until,8
use,8
57,8
