Word,Word_freq
ramen,314
not,124
good,122
broth,111
ippudo,107
pork,101
wait,97
place,88
noodles,87
very,87
buns,67
spicy,67
really,63
great,62
like,60
one,58
food,57
time,57
delicious,54
bar,53
an,48
more,48
too,46
would,44
try,44
well,43
definitely,41
came,41
me,41
service,40
about,39
best,38
got,38
chicken,37
nyc,36
didn't,35
seated,34
location,34
up,34
egg,33
ordered,33
flavor,32
akamaru,32
back,32
bowl,32
i'm,32
amazing,31
went,31
always,30
much,30
don't,30
pretty,30
come,30
nice,30
order,29
i've,29
around,28
has,28
experience,28
flavorful,27
sauce,26
been,26
worth,26
first,26
salty,25
did,25
love,25
what,25
because,24
do,24
table,24
perfect,24
restaurant,24
little,23
after,23
modern,22
bit,22
tried,22
still,22
wasn't,22
right,22
hour,21
no,21
dinner,21
than,21
better,21
will,21
bun,21
minutes,21
thin,21
sure,21
can't,21
both,21
options,20
staff,20
think,20
while,20
belly,20
overall,20
classic,20
2,20
garlic,20
people,19
paste,19
different,19
tonkotsu,19
quick,19
spot,19
never,18
even,18
new,18
soft,18
made,18
usually,18
eat,18
am,18
day,18
comes,18
before,18
cold,18
two,18
side,17
want,17
dish,17
next,17
westside,17
though,17
super,17
few,17
area,17
karaka,17
itself,17
soup,17
visit,16
meal,16
taste,16
ever,16
most,16
price,16
long,16
places,16
times,15
fried,15
its,15
waiting,15
menu,15
how,15
since,15
down,15
favorite,15
vegetarian,15
recommend,15
you're,15
friendly,15
he,15
ippudo's,15
added,14
miso,14
take,14
karakamen,14
night,14
everything,14
again,14
york,14
many,14
cooked,14
perfectly,14
over,13
reviews,13
add,13
original,13
waited,13
big,13
said,13
find,13
small,13
start,13
japanese,13
where,13
party,13
extra,13
hot,13
loved,13
appetizers,13
$16,13
pm,13
noodle,12
excellent,12
decided,12
shiromaru,12
oh,12
mushrooms,12
being,12
any,12
chashu,12
during,12
thing,12
drinks,12
does,12
thought,12
friend,12
appetizer,12
able,12
wings,11
ginger,11
fan,11
started,11
that's,11
crab,11
who,11
tables,11
could,11
however,11
kind,11
absolutely,11
each,11
going,11
especially,11
know,11
light,11
special,11
tasty,11
bite,11
tender,11
way,11
enough,11
kick,10
&,10
bad,10
server,10
sake,10
say,10
option,10
group,10
sat,10
off,10
top,10
quickly,10
looking,10
then,10
happy,10
make,10
shell,10
there's,10
5,10
another,10
counter,10
without,10
attentive,10
locations,10
red,10
texture,10
extremely,10
rich,10
nothing,10
solid,10
coming,9
slices,9
them,9
japan,9
same,9
meat,9
short,9
mayo,9
room,9
full,9
dining,9
probably,9
every,9
end,9
evening,9
ordering,9
fresh,9
trust,9
husband,9
saturday,9
i'd,9
these,9
lunch,9
told,9
isn't,9
must,9
3,9
pay,9
late,9
makes,9
decent,9
couldn't,9
popular,9
authentic,8
east,8
shrimp,8
toppings,8
tonkatsu,8
enjoy,8
near,8
seating,8
between,8
fast,8
village,8
pieces,8
spice,8
walked,8
once,8
scallions,8
used,8
10,8
warm,8
cool,8
visiting,8
city,8
ny,8
line,8
portion,8
far,8
feel,8
seasoned,8
man,8
tasted,8
tell,8
salt,8
businesses,8
edamame,8
concern,8
name,7
umami,7
huge,7
least,7
servers,7
remove,7
honestly,7
kitchen,7
crowded,7
friday,7
boyfriend,7
juicy,7
everyone,7
alter,7
sit,7
wonderful,7
oil,7
ambiance,7
finish,7
should,7
4,7
vegetable,7
west,7
years,7
see,7
fries,7
ramens,7
quite,7
trying,7
review,7
learn,7
wanted,7
whole,7
actually,7
peppers,7
totto,7
stop,7
immediately,7
outside,7
maybe,7
shishito,7
portions,7
sweet,7
slightly,7
ingredients,7
size,7
something,7
crispy,7
served,7
anything,7
liked,7
bamboo,7
home,7
those,7
leave,7
wish,7
restaurants,7
vibe,6
stars,6
average,6
busy,6
doesn't,6
arrived,6
hungry,6
shop,6
min,6
eggplant,6
may,6
into,6
atmosphere,6
check,6
waiters,6
sesame,6
last,6
cabbage,6
until,6
highly,6
she,6
close,6
offer,6
put,6
hit,6
thick,6
drink,6
almost,6
main,6
course,6
softboiled,6
seem,6
either,6
seat,6
seems,6
weren't,6
prefer,6
soon,6
they're,6
included,6
broths,6
early,6
shinaji,6
own,6
seats,6
high,6
legit,6
saw,6
less,6
savory,6
expect,6
myself,6
why,6
part,6
chasu,6
