Table 1.1.5. Gross Domestic Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars] Seasonally adjusted at annual rates ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: August 27, 2020 - Next Release Date September 30, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
1,        Gross domestic product,10472879,10597822,10596294,10660294,10788952,10893207,10992051,11071463,11183507,11312875,11567326,11769275,11920169,12108987,12303340,12522425,12761337,12910022,13142873,13332316,13603933,13749806,13867469,14037228,14208569,14382363,14535003,14681501,14651039,14805611,14835187,14559543,14394547,14352850,14420312,14628021,14721350,14926098,15079917,15240843,15285828,15496189,15591850,15796460,16019758,16152257,16257151,16358863,16569591,16637926,16848748,17083137,17104555,17432909,17721657,17849912,18003399,18223577,18347425,18378803,18470156,18656207,18821359,19032580,19237435,19379232,19617288,19937963,20242215,20552653,20742723,20909853,21115309,21329877,21540325,21747394,21561139,19486509
2,Personal consumption expenditures,6986889,7036337,7064655,7174656,7209940,7302112,7390943,7467749,7555778,7642600,7802573,7891485,8027745,8133005,8264342,8425557,8522955,8671428,8849203,8944885,9090652,9210245,9333029,9407453,9549431,9644740,9753799,9877752,9934253,10052843,10080964,9837261,9756126,9760216,9895401,9957092,10040485,10131767,10220606,10350484,10485358,10612125,10705367,10761586,10922442,10964858,11014245,11125711,11223180,11239592,11330946,11475123,11574229,11756878,11915359,12044547,12099073,12255535,12389313,12446001,12551649,12707522,12841158,12979520,13153192,13241268,13370922,13596036,13755546,13939903,14086264,14191412,14276587,14497320,14645313,14759183,14545460,13046732
3,    Goods,2499246,2510106,2515247,2577774,2561883,2586933,2618442,2627961,2657334,2677898,2766247,2788911,2843234,2868978,2911339,2984533,3001947,3057414,3137844,3134486,3196843,3226093,3273437,3262249,3308125,3351800,3380010,3428187,3406368,3443532,3427907,3175077,3120027,3134475,3228477,3237111,3266153,3291234,3315119,3398792,3469035,3514457,3527775,3561217,3628717,3616376,3631806,3674058,3731613,3699333,3730352,3758593,3789521,3862947,3897907,3901450,3867908,3927357,3960436,3936269,3939037,3990163,4017540,4046668,4108068,4130306,4177294,4273352,4315557,4368768,4394827,4408264,4415159,4517679,4553619,4562374,4552919,4364310
4,        Durable goods,926811,919479,923888,995882,976249,977397,1001720,986105,974533,1007819,1041776,1047074,1064229,1065972,1085046,1107050,1109964,1137918,1151814,1114745,1154128,1149249,1160532,1169422,1179022,1185692,1191859,1195599,1153509,1137729,1095819,1007986,1004480,994700,1035104,1014201,1021085,1043901,1052423,1078441,1087927,1082903,1090755,1112409,1138093,1133557,1141673,1163561,1188767,1185454,1188946,1194486,1203518,1239425,1255633,1269727,1283823,1309627,1318493,1318478,1330962,1339985,1360810,1369132,1383173,1394003,1412984,1452553,1461760,1482554,1488739,1493154,1494454,1535984,1552836,1554131,1496444,1480088
5,        Nondurable goods,1572434,1590627,1591359,1581892,1585634,1609535,1616722,1641855,1682801,1670079,1724470,1741837,1779005,1803006,1826294,1877483,1891983,1919496,1986031,2019741,2042714,2076844,2112905,2092827,2129103,2166108,2188151,2232589,2252859,2305803,2332089,2167090,2115548,2139774,2193373,2222909,2245069,2247333,2262696,2320351,2381108,2431554,2437019,2448807,2490624,2482819,2490133,2510497,2542846,2513879,2541405,2564108,2586003,2623522,2642275,2631723,2584085,2617730,2641944,2617791,2608075,2650178,2656730,2677536,2724895,2736303,2764310,2820799,2853797,2886214,2906088,2915110,2920704,2981695,3000783,3008243,3056474,2884223
6,    Services,4487643,4526231,4549408,4596882,4648057,4715179,4772501,4839789,4898444,4964702,5036326,5102574,5184511,5264027,5353003,5441024,5521008,5614014,5711358,5810399,5893810,5984152,6059592,6145204,6241307,6292939,6373789,6449565,6527885,6609311,6653057,6662184,6636099,6625741,6666924,6719981,6774332,6840533,6905487,6951692,7016323,7097668,7177592,7200370,7293725,7348482,7382439,7451654,7491567,7540259,7600595,7716530,7784708,7893930,8017452,8143097,8231165,8328178,8428877,8509732,8612612,8717359,8823618,8932852,9045123,9110961,9193627,9322684,9439990,9571135,9691437,9783149,9861429,9979641,10091694,10196809,9992541,8682421
7,Gross private domestic investment,1971333,1973033,1944909,1850091,1912659,1933282,1933197,1942531,1960221,1972386,2044304,2131311,2154052,2262607,2318272,2390082,2486068,2476474,2531076,2645263,2709740,2709252,2709420,2675406,2664295,2699217,2685969,2642560,2563701,2540595,2498242,2307915,2014878,1863650,1841416,1998710,2038161,2148795,2236495,2238440,2205962,2297352,2322840,2504095,2567750,2636863,2644119,2638282,2738236,2775276,2879995,2910546,2899216,3030425,3107620,3139452,3245050,3245825,3251670,3206098,3166041,3157884,3167007,3262433,3266198,3313268,3378844,3446266,3555014,3580926,3671718,3723856,3772798,3739658,3759796,3732637,3675871,3134201
8,    Fixed investment,2001963,1984593,1975026,1930920,1912366,1912113,1907764,1909528,1934140,1978873,2043866,2094966,2108027,2188618,2254106,2317993,2383590,2447639,2518722,2558875,2631526,2633739,2630666,2631930,2642923,2656992,2641047,2615279,2580374,2562847,2514067,2370130,2165874,2059651,2045422,2050795,2039398,2112087,2123598,2171138,2173885,2236305,2334873,2400138,2487473,2545458,2559690,2609548,2655966,2687519,2743781,2798665,2846963,2934034,3008181,3051671,3069402,3095820,3124874,3111409,3116615,3141039,3171870,3210434,3278450,3309238,3333781,3417812,3510466,3570215,3593345,3626543,3674180,3686598,3718480,3729231,3727988,3432068
