Date,name,category,value
1/2/2010,AUSTRALIA,LOBSTER,"15,856"
1/2/2010,CHINA,"CRAB, CRABMEAT","51,133"
1/2/2010,CHINA,"CRAB, CRABMEAT","43,368"
1/2/2010,CHINA,LOBSTER,"49,590"
1/2/2010,CHINA,"CRAB, CRABMEAT","50,714"
1/2/2010,HONG KONG,LOBSTER,"41,589"
1/2/2010,INDIA,OCTOPUS,"20,266"
1/2/2010,INDONESIA,"CRAB, CRABMEAT","46,705"
1/2/2010,INDONESIA,OCTOPUS,"41,925"
1/2/2010,JAPAN,OCTOPUS,224
1/2/2010,MALAYSIA,OCTOPUS,"45,291"
1/2/2010,MOROCCO,LOBSTER,"18,831"
1/2/2010,NEW ZEALAND,MUSSELS,"38,092"
1/2/2010,NEW ZEALAND,MUSSELS,"38,092"
1/2/2010,NEW ZEALAND,MUSSELS,"38,092"
1/2/2010,NEW ZEALAND,MUSSELS,"18,245"
1/2/2010,NEW ZEALAND,MUSSELS,"38,092"
1/2/2010,NEW ZEALAND,MUSSELS,"38,870"
1/2/2010,NEW ZEALAND,MUSSELS,"39,668"
1/2/2010,PHILIPPINES,OCTOPUS,"39,672"
1/2/2010,REUNION,"PATAGONIAN, TOOTHFISH","49,276"
1/2/2010,REUNION,"PATAGONIAN, TOOTHFISH","52,477"
1/2/2010,THAILAND,"CRAB, CRABMEAT","47,210"
1/2/2010,THAILAND,OCTOPUS,"34,127"
1/2/2010,THAILAND,OCTOPUS,"40,199"
1/2/2010,THAILAND,"CRAB, CRABMEAT","48,097"
1/3/2010,CHINA,OCTOPUS,"43,227"
1/3/2010,CHINA,"CRAB, CRABMEAT","41,210"
1/3/2010,CHINA,"CRAB, CRABMEAT","43,943"
1/3/2010,CHINA,"CRAB, CRABMEAT","45,283"
1/3/2010,CHINA,"CRAB, CRABMEAT","37,763"
1/3/2010,HONDURAS,LOBSTER,"29,080"
1/3/2010,HONDURAS,LOBSTER,"29,080"
1/3/2010,INDIA,OCTOPUS,"2,623"
1/3/2010,NEW ZEALAND,MUSSELS,"37,569"
