Word,Word_freq
the,912
and,506
a,424
to,399
i,338
of,296
dumplings,274
was,266
is,236
soup,233
in,214
for,191
it,187
with,161
we,159
but,157
they,141
you,139
on,139
this,128
so,124
were,122
are,121
not,113
that,111
as,110
place,95
my,94
good,91
be,90
had,88
at,87
pork,85
have,80
here,80
joe's,79
food,79
there,74
if,71
only,70
wait,65
all,65
get,63
very,63
when,60
their,60
shanghai,60
other,58
just,56
it's,56
also,56
table,55
one,54
from,53
your,53
more,52
our,52
restaurant,52
about,52
new,52
out,51
like,49
which,49
came,47
fried,46
noodles,45
come,45
an,44
service,44
ordered,43
will,42
because,41
me,41
long,41
than,40
order,40
back,40
really,39
location,39
got,37
crab,36
time,36
too,35
definitely,35
i've,34
cash,34
or,34
chinatown,34
can,34
by,34
some,33
up,33
around,32
try,32
much,32
them,32
us,32
has,31
scallion,31
no,30
eat,30
been,30
don't,29
still,29
people,29
well,29
best,28
what,28
i'm,27
would,27
even,27
same,26
chinese,26
delicious,26
before,26
great,25
bao,25
go,25
pretty,25
how,25
sure,25
rice,25
worth,24
xlb,24
seated,24
since,24
sauce,24
after,24
didn't,24
hot,24
meat,23
xiao,23
bit,22
flavor,22
make,22
party,22
better,22
do,21
could,21
coming,21
two,21
probably,21
restaurants,21
dishes,20
you're,20
first,20
line,20
those,20
minutes,20
inside,20
beef,19
wasn't,19
eating,19
these,19
waiting,19
most,19
meal,19
menu,18
being,18
quality,18
wanted,18
its,18
big,18
few,18
tables,18
another,18
taste,18
can't,18
super,18
crispy,18
packed,18
down,17
now,17
overall,17
then,17
i'd,17
any,17
nyc,17
each,17
small,17
pancake,17
though,17
recommend,17
many,16
staff,16
that's,16
large,16
pancakes,16
always,16
huge,16
experience,16
skin,16
tip,16
went,16
take,16
dish,15
old,15
reviews,15
everything,15
nice,15
ones,15
way,15
he,15
group,15
space,15
need,15
know,14
seat,14
did,14
outside,14
places,14
ever,14
said,14
however,14
again,14
orders,14
fast,14
never,13
top,13
vinegar,13
they're,13
times,13
already,13
give,13
tea,13
number,13
say,13
friends,13
into,13
bite,13
bring,13
thing,13
thick,13
noodle,13
who,13
bad,12
put,12
visit,12
little,12
check,12
favorite,12
price,12
took,12
there's,12
flavorful,12
years,12
york,12
over,12
find,12
going,12
getting,12
chicken,12
8,12
salty,12
quick,12
share,12
want,12
2,12
4,12
fan,11
busy,11
isn't,11
lunch,11
lot,11
spot,11
tourist,11
seating,11
waited,11
maybe,11
during,11
street,11
nothing,11
authentic,11
broth,11
okay,11
off,11
start,11
area,11
served,10
shared,10
think,10
called,10
home,10
less,10
friend,10
you'll,10
ask,10
love,10
look,10
night,10
side,10
amazing,10
usually,10
must,10
prepared,10
see,10
while,10
almost,10
saturday,10
prices,10
both,10
honestly,10
enough,10
last,10
hype,10
review,10
amount,10
afternoon,10
city,9
feel,9
things,9
cold,9
bigger,9
else,9
sit,9
right,9
tourists,9
pan,9
pell,9
15%,9
steamed,9
such,9
famous,9
xlbs,9
family,9
used,9
next,9
looks,9
atm,9
lots,9
hard,9
finally,8
asian,8
unless,8
filled,8
enjoyed,8
communal,8
person,8
hit,8
through,8
soon,8
keep,8
din,8
ny,8
until,8
15,8
quickly,8
remember,8
juicy,8
fung,8
might,8
tai,8
dinner,8
tasted,8
tried,8
sharing,8
spoon,8
minute,8
expect,8
solid,8
able,7
flat,7
found,7
yet,7
groups,7
anything,7
bill,7
i'll,7
add,7
why,7
popular,7
total,7
highly,7
pepper,7
especially,7
ready,7
done,7
despite,7
kind,7
pay,7
sat,7
mind,7
changed,7
expected,7
felt,7
impressed,7
once,7
happy,7
left,7
style,7
care,7
saw,7
regular,7
yelp,7
decided,7
end,7
serve,7
note,7
day,7
fresh,7
looking,7
high,7
chewy,7
should,7
ordering,7
hours,7
shrimp,7
water,7
10,7
whole,6
full,6
instead,6
cake,6
taking,6
spicy,6
seafood,6
course,6
decent,6
although,6
perfectly,6
disappointed,6
added,6
without,6
perfect,6
am,6
